linha,cod_protheus,descricao,status,http_status,mensagem,created_id
190,VER002,VERIFICAR A INDICAÇÃO DE SATURAÇÃO DO FILTRO,CREATED,201,,fbd169909efc4a65a28954d74
191,VER003,"VERIFICAR A INTEGRIDADE DA ESTRUTURA DA PENEIRA (TRINCAS, DEFORMAÇÕES OU CORROSÃO)",CREATED,201,,58c5e5ff650a433499ff36117
192,VER004,VERIFICAR A TEMPERATURA DE INJEÇÃO DE ÓLEO,CREATED,201,,c9fa6e661029486eb84f14b02
193,VER005,VERIFICAR A TEMPERATURA DO AR DE ENTRADA E SAIDA,CREATED,201,,e9aa67d422444db9a0bbe7fe6
194,VER006,VERIFICAR ALINHAMENTO GERAL DO EQUIPAMENTO COM AS ESTRUTURAS DE APOIO,CREATED,201,,cc789d8bc4544416992509766
195,VER007,VERIFICAR AS CONEXÕES DOS CONTRAPESOS NOS VIBRADORES,CREATED,201,,a6010e24062e450fb260ef05a
196,VER008,"VERIFICAR CHAPA PRINCIPAL DA GUILOTINA QUANTO A DESGASTE, FIXACAO E TRINCAS",CREATED,201,,e507401ba73c4c67a939ad76f
197,VER009,VERIFICAR CONDICOES DOS COXINS QUANTO A RESSECAMENTO E DESGASTE,CREATED,201,,ee8c7eaf23f54ef0a5220b3b1
198,VER010,"VERIFICAR CORREIAS EM V, POLIA MOTORA E MOVIDA QUANTO ALINHAMENTO E DESGASTE",CREATED,201,,796e98a1f90c42e690dfd8235
199,VER011,"VERIFICAR COXINS QUANTO A DESGASTE, RESSECADOS, ACUMULO DE MATERIAL, ETC",CREATED,201,,8b3e4f1dce2248e58f9f842ad
200,VER012,VERIFICAR DESGASTE DAS CHAPAS DE REVESTIMENTO.,CREATED,201,,24cff15749b84712a5c1fcf5d
201,VER013,VERIFICAR DESGASTE DAS MANDÍBULAS,CREATED,201,,4665adcff91e41f589aba7779
202,VER014,VERIFICAR DESGASTE EXCESSIVO DO REVESTIMENTO CÔNICO,CREATED,201,,0063ccab6f834f2385b002627
203,VER015,VERIFICAR DESGASTE OU PERDA DE ESPESSURA NOS REVESTIMENTOS,CREATED,201,,8e061c979dbe4e05a17ac1061
204,VER016,VERIFICAR DESGASTE OU RACHADURAS NAS CORREIAS,CREATED,201,,afbcd4b465fd43fca73cd91e4
205,VER017,VERIFICAR DESGASTE POR ABRASÃO OU DEFORMAÇÕES,CREATED,201,,91baa77d5f5c499990ce5bc93
206,VER018,VERIFICAR DIFERENCIAL DE PRESSÃO DO SEPARADOR AR / ÓLEO,CREATED,201,,2c65c8a8840a4eb3942bb12a1
207,VER019,"VERIFICAR DIFERENCIAL DE PRESSAO DO SEPARADOR AR / OLEO                                                                                               ,",CREATED,201,,aaff2cd9678149a99fed5a959
208,VER020,VERIFICAR ESCORREGAMENTO DE CORREIAS POR POLIAS PEQUENAS OU TENSÃO INADEQUADA.,CREATED,201,,06d03c2f86974d46b173dfed7
209,VER021,VERIFICAR ESTADO GERAL DOS ELEMENTOS DE FIXAÇÃO DO REDUTOR,CREATED,201,,8ebc306b858e4d6595e1f505e
210,VER022,VERIFICAR EXISTÊNCIA DE VAZAMENTOS DE ÓLEO POR MANGUEIRAS E CONEXÕES,CREATED,201,,c6242cf0461e4dd2a8b60f2c6
211,VER023,VERIFICAR FIXAÇÃO DA BOBINA E DESGASTE DO CASTELO DA VÁLVULA DE ADMISSÃO,CREATED,201,,7fe1f41533614e39bfd0198b6
212,VER024,VERIFICAR FIXAÇÃO DA BOBINA E DESGASTE DO CASTELO DA VÁLVULA DE COMANDO,CREATED,201,,cefe759295c6487695d18abfe
213,VER025,VERIFICAR FIXACAO DO(S) FLANGE(S) E DEMAIS FIXACOES PARAFUSADAS,CREATED,201,,f621ad4603b44526837d25631
214,VER026,VERIFICAR FOLGAS NAS CRUZETAS E JUNTAS,CREATED,201,,d67251c2d19149499036f20c4
215,VER027,VERIFICAR HORÍMETRO E REGISTRAR HORAS DE OPERAÇÃO.,CREATED,201,,513b21bd39b74e79be08ba873
216,VER028,"VERIFICAR INTEGRIDADE DA ESTRUTURA DO ALIENTADOR (RACHADURAS, DESGASTES OU DEFORMAÇÕES)",CREATED,201,,7646ffd4bd904019961a5402e
217,VER029,VERIFICAR MANCAIS QUANTO A FIXAÇÃO,CREATED,201,,d72e7639a3d14e529a2c8f86e
218,VER030,VERIFICAR MANCAIS QUANTO A FIXACAO,CREATED,201,,193b912b6f2342d287aa01a58
219,VER031,VERIFICAR NÍVEL DE ÓLEO DO SEPARADOR AR / ÓLEO,CREATED,201,,392b267f53464a27aeb9dec81
220,VER032,"VERIFICAR NÍVEL DE ÓLEO, COMPLETAR CASO NECESSÁRIO",CREATED,201,,54fea718c40343a5972e32fa7
221,VER033,VERIFICAR O ESTADO DOS AMORTECEDORES (MOLAS OU BORRACHAS),CREATED,201,,66f8e289f7d543daadf75eba2
222,VER034,VERIFICAR PERDA DE AMPLITUDE POR ACÚMULO DE MATERIAL.,CREATED,201,,8e769e0b022a40ccbbc75617d
223,VER035,VERIFICAR POLIA MOVIDA E MOTORA QUANTO AO DESGASTE E FIXAÇÃO E ALINHAMENTO,CREATED,201,,d407aa61663444c6b9b91abd4
224,VER036,VERIFICAR POSSIVEIS VAZAMENTOS NOS MANCAIS,CREATED,201,,b8019beeb7f542a2a33517085
225,VER037,VERIFICAR PRESENÇA DE MATERIAL ACUMULADO OU OBSTRUÇÕES,CREATED,201,,151f13751ef24b628382deccb
226,VER038,VERIFICAR PRESENÇA E CONDIÇÃO DOS CALÇOS OU PLACAS DE APOIO,CREATED,201,,da284eebcbde4d1194fdbb04c
227,VER039,VERIFICAR PRESSÃO DE TRABALHO,CREATED,201,,695214c99f4249479429be6b1
228,VER040,"VERIFICAR PROTEÇÃO DAS PARTES MÓVEIS (TELAS, CORREIAS, CARDANS, POLIAS)",CREATED,201,,addc668f228149d4a97fe732c
229,VER041,VERIFICAR PROTEÇÃO DE PARTES MÓVEIS E CORTINA DE PROTEÇÃO,CREATED,201,,13cc02c14f654bfc956db4650
230,VER042,"VERIFICAR ROLAMENTOS (RUÍDO, FOLGA, SUPERAQUECIMENTO).",CREATED,201,,6917752d068342d7bc351b3f3
231,VER043,VERIFICAR SE A ILUMINAÇÃO ESTÁ ADEQUADA,CREATED,201,,f0ed925fd47f4ddd8a13a36b4
232,VER044,VERIFICAR SE A VIBRAÇÃO ESTÁ CAUSANDO RISCO DE QUEDA DE EQUIPAMENTOS.,CREATED,201,,3249001583b04f5a80cb6f924
233,VER045,VERIFICAR SE AS PROTEÇÕES DOS VOLANTES ESTÃO NO LUGAR E EM BOAS CONDIÇÕES,CREATED,201,,a3ce53ef05e54a59a73923022
234,VER046,VERIFICAR SE AS PROTEÇÕES ESTÃO PADRONIZADAS E SEGURAS,CREATED,201,,77f7ee589f5e428ab045304be
235,VER047,VERIFICAR SE HÁ OBSTRUÇÕES NO CHUTE DE DESCARGA.,CREATED,201,,1c0dbad2674742d78f59c79f0
236,VER048,VERIFICAR SE HA ROLETES PRESOS OU FALTANTES,CREATED,201,,a476c405990e47b89ecd48164
237,VER049,VERIFICAR SE HA VAZAMENTO NA JUNTA DE DILATACAO,CREATED,201,,64c0a827e35446f58f1ebc5b1
238,VER050,VERIFICAR SE HÁ VAZAMENTOS,CREATED,201,,1df3fc5498864e0e826f83fdc
239,VER051,VERIFICAR SE HÁ VAZAMENTOS DE GÁS OU OLEO NO LOCAL DE TRABALHO,CREATED,201,,9d895fff151941dabe528bea6
240,VER052,VERIFICAR SE HÁ VIBRAÇÃO EXCESSIVA (SENSOR DEVE ESTAR FUNCIONAL).,CREATED,201,,eeadcce2193943218f2ef3b68
241,VER053,VERIFICAR SE NÃO TEM LIMALHAS NA TELA DE RETORNO DO OLEO NO TANQUE,CREATED,201,,b09a496597084b3b92c3bf6df
242,VER054,VERIFICAR SE O CAMINHO ATÉ O LOCAL ESTÁ SEGURO,CREATED,201,,e484504dc4224180a107e88c0
243,VER055,VERIFICAR SE O PISO ESTÁ LIMPO E NIVELADO,CREATED,201,,2d3c4aa491ee4471bf1b0dafe
244,VER056,VERIFICAR TEMPERATURA DOS ROLAMENTOS (IDEAL: 40–60°C).,CREATED,201,,bfb0d91c4bf5447aa0a6ceb9a
245,VER057,VERIFICAR TENSÃO DAS CORREIAS E SINAIS DE ESCORREGAMENTO.,CREATED,201,,6139cfd89fe54ef790f5c0a99
246,VER058,VERIFICAR UNIFORMIDADE DE DISTRIBUIÇÃO DE MATERIAL NA CALHA.,CREATED,201,,db564660f58440c6a001beb32
247,VER059,"VERIFICAR VALVULAS E MANOMETROS QUANTO A QUEBRAS, VAZAMENTOS E DANOS",CREATED,201,,847fbc5b73234a66942a6d600
248,VER060,VERIFICAR VAZAMENTO DE GRAXA (BUCHA DA ARANHA) E FIXAÇÃO DA CABEÇA (CAPACETE),CREATED,201,,e7fcf3cbe8b54a6bb4723e6f8
249,VER061,VERIFICAR VAZAMENTOS DE AR NO CONJUNTO DOS CILINDROS VALVULAS SOLENOIDES,CREATED,201,,4c3f24d1a10a4f1e8f9700e0f
